Date,Open,High,Low,Close,UD,UDP,Volume
2005/1/3,6185,6193,6154,6174,0,0,20319
2005/1/4,6145,6152,6062,6080,-94,-1.5225,38182
2005/1/5,6011,6027,5996,6013,-67,-1.102,25857
2005/1/6,6008,6023,5995,6017,4,0.0665,14673
2005/1/7,6018,6035,5951,5965,-52,-0.8642,37209
2005/1/10,5970,5992,5961,5987,22,0.3688,14801
2005/1/11,5986,6026,5965,6003,16,0.2672,22853
2005/1/12,5980,5995,5875,5901,-102,-1.6992,38093
2005/1/13,5920,5930,5830,5880,-21,-0.3559,33987
2005/1/14,5846,5920,5821,5893,13,0.2211,31644
2005/1/17,5933,5985,5933,5954,61,1.0351,25354
2005/1/18,5955,5967,5935,5945,-9,-0.1512,16502
2005/1/19,5965,5977,5885,5885,-60,-1.0093,19517
2005/1/20,5869,5925,5853,5879,-6,-0.102,39970
2005/1/21,5871,5897,5833,5869,-10,-0.1701,28331
2005/1/24,5869,5874,5769,5805,-64,-1.0905,31954
2005/1/25,5783,5815,5746,5810,5,0.0861,33540
2005/1/26,5838,5857,5813,5840,30,0.5164,25518
2005/1/27,5850,5850,5818,5834,-6,-0.1027,18149
2005/1/28,5822,5893,5816,5874,40,0.6856,32141
2005/1/31,5893,6004,5884,5982,108,1.8386,41876
2005/2/1,5981,6006,5975,5980,-2,-0.0334,18624
2005/2/2,6000,6070,5995,6023,43,0.7191,35326
2005/2/3,6048,6050,6017,6045,22,0.3653,14887
2005/2/14,6210,6220,6115,6129,84,1.3896,22508
2005/2/15,6111,6149,6111,6123,-6,-0.0979,11655
2005/2/16,6140,6150,6042,6128,5,0.0817,14578
2005/2/17,6115,6135,6062,6078,-50,-0.8159,31930
2005/2/18,6072,6127,6058,6120,42,0.691,24824
2005/2/21,6127,6170,6127,6144,24,0.3922,21839
2005/2/22,6139,6149,6090,6097,-47,-0.765,23003
2005/2/23,6054,6128,6039,6114,17,0.2788,30573
2005/2/24,6114,6164,6093,6120,6,0.0981,31205
2005/2/25,6162,6227,6162,6219,99,1.6176,34658
2005/3/1,6233,6250,6209,6250,31,0.4985,21190
2005/3/2,6259,6259,6191,6200,-50,-0.8,27486
2005/3/3,6200,6223,6156,6204,4,0.0645,32997
2005/3/4,6191,6219,6175,6198,-6,-0.0967,21080
2005/3/7,6245,6257,6220,6231,33,0.5324,22438
2005/3/8,6240,6253,6138,6155,-76,-1.2197,37801
2005/3/9,6149,6203,6145,6198,43,0.6986,21598
2005/3/10,6180,6188,6141,6167,-31,-0.5002,26861
2005/3/11,6195,6235,6173,6207,40,0.6486,26378
2005/3/14,6176,6203,6150,6160,-47,-0.7572,21332
2005/3/15,6159,6168,6036,6076,-84,-1.3636,30887
2005/3/16,6059,6088,6044,6068,-8,-0.1317,8474
2005/3/17,6008,6035,5995,6015,-53,-0.8734,27887
2005/3/18,6030,6043,6004,6027,12,0.1995,23502
2005/3/21,6018,6053,6015,6040,13,0.2157,20102
2005/3/22,6032,6034,5976,6008,-32,-0.5298,32667
2005/3/23,5981,6010,5967,6010,2,0.0333,30170
2005/3/24,6010,6037,5997,6012,2,0.0333,23312
2005/3/25,6012,6052,6008,6050,38,0.6321,18475
2005/3/28,6069,6077,6033,6054,4,0.0661,17906
2005/3/29,6031,6040,5967,5973,-81,-1.338,34733
2005/3/30,5957,5982,5950,5975,2,0.0335,19723
2005/3/31,6009,6019,5998,6010,35,0.5858,17500
2005/4/1,6008,6045,5972,6045,35,0.5824,31130
2005/4/4,6021,6045,6016,6025,-20,-0.3309,14928
2005/4/6,6031,6040,5997,6011,-14,-0.2324,19640
2005/4/7,6013,6030,5975,5985,-26,-0.4325,25693
2005/4/8,6008,6017,5997,6010,25,0.4177,13226
2005/4/11,5985,6003,5966,5980,-30,-0.4992,13780
2005/4/12,5976,6003,5969,5990,10,0.1672,14469
2005/4/13,6005,6012,5987,6007,17,0.2838,11354
2005/4/14,5971,5985,5958,5975,-32,-0.5327,16115
2005/4/15,5925,5935,5876,5892,-83,-1.3891,23431
2005/4/19,5727,5785,5721,5754,-138,-2.3422,14912
2005/4/20,5781,5802,5687,5701,-53,-0.9211,12443
2005/4/21,5620,5707,5602,5688,-13,-0.228,44013
2005/4/22,5748,5769,5708,5725,37,0.6505,28450
2005/4/25,5711,5736,5704,5728,3,0.0524,13763
2005/4/26,5738,5778,5718,5765,37,0.6459,26541
2005/4/27,5748,5767,5738,5745,-20,-0.3469,15266
2005/4/28,5740,5794,5710,5780,35,0.6092,29571
2005/4/29,5755,5770,5742,5770,-10,-0.173,18029
2005/5/3,5800,5845,5797,5800,30,0.5199,22478
2005/5/4,5820,5828,5785,5806,6,0.1034,19001
2005/5/5,5860,5943,5841,5902,96,1.6535,45967
2005/5/6,5910,5949,5895,5948,46,0.7794,21016
2005/5/9,5936,5951,5923,5947,-1,-0.0168,16570
2005/5/10,5949,5957,5920,5925,-22,-0.3699,17027
2005/5/11,5890,5912,5880,5898,-27,-0.4557,19109
2005/5/12,5905,5929,5887,5929,31,0.5256,15760
2005/5/13,5918,6007,5916,5986,57,0.9614,32107
2005/5/16,5997,6015,5924,5931,-55,-0.9188,21380
2005/5/17,5963,5964,5858,5877,-54,-0.9105,20846
2005/5/18,5909,5915,5880,5880,3,0.051,11369
2005/5/19,5941,5975,5930,5947,67,1.1395,31786
2005/5/20,5954,5964,5920,5920,-27,-0.454,18680
2005/5/23,5926,5926,5855,5878,-42,-0.7095,26949
2005/5/24,5878,5895,5871,5875,-3,-0.051,13417
2005/5/25,5880,5930,5822,5849,-26,-0.4426,38079
2005/5/26,5861,5902,5842,5899,50,0.8548,21920
2005/5/27,5930,5965,5923,5950,51,0.8646,30254
2005/5/30,5958,5969,5930,5952,2,0.0336,17054
2005/5/31,5940,5965,5912,5943,-9,-0.1512,29235
2005/6/1,5943,5956,5905,5935,-8,-0.1346,26542
2005/6/2,5963,6005,5962,5973,38,0.6403,30796
2005/6/3,5988,6058,5978,6038,65,1.0882,35747
2005/6/6,6015,6072,6012,6069,31,0.5134,21953
2005/6/7,6071,6073,6037,6060,-9,-0.1483,17739
2005/6/8,6052,6143,6051,6131,71,1.1716,29611
2005/6/9,6119,6162,6113,6125,-6,-0.0979,18592
2005/6/10,6141,6189,6115,6175,50,0.8163,23085
2005/6/13,6175,6245,6156,6240,65,1.0526,21861
2005/6/14,6239,6271,6217,6221,-19,-0.3045,21001
2005/6/15,6234,6270,6220,6266,45,0.7234,13629
2005/6/16,6150,6194,6132,6180,-86,-1.3725,33246
2005/6/17,6188,6256,6173,6189,9,0.1456,39792
2005/6/20,6190,6208,6168,6188,-1,-0.0162,15910
2005/6/21,6191,6205,6166,6197,9,0.1454,18478
2005/6/22,6199,6343,6199,6330,133,2.1462,43369
2005/6/23,6325,6356,6325,6350,20,0.316,24590
2005/6/24,6311,6325,6272,6297,-53,-0.8346,30307
2005/6/27,6246,6272,6230,6257,-40,-0.6352,25588
2005/6/28,6261,6288,6253,6284,27,0.4315,18132
2005/6/29,6325,6353,6165,6199,-85,-1.3526,54328
2005/6/30,6215,6228,6186,6199,0,0,20191
2005/7/1,6190,6230,6125,6227,28,0.4517,36513
2005/7/4,6248,6248,6181,6211,-16,-0.2569,19030
2005/7/5,6210,6218,6160,6163,-48,-0.7728,26316
2005/7/6,6185,6208,6155,6182,19,0.3083,25189
2005/7/7,6166,6180,6136,6166,-16,-0.2588,25910
2005/7/8,6170,6205,6157,6181,15,0.2433,23599
2005/7/11,6248,6306,6233,6302,121,1.9576,29881
2005/7/12,6325,6353,6320,6340,38,0.603,25968
2005/7/13,6341,6407,6332,6376,36,0.5678,30454
2005/7/14,6400,6438,6379,6435,59,0.9253,28388
2005/7/15,6446,6449,6411,6411,-24,-0.373,17808
2005/7/19,6419,6433,6385,6430,19,0.2964,16251
2005/7/20,6430,6479,6401,6413,-17,-0.2644,20687
2005/7/21,6426,6452,6330,6365,-48,-0.7485,49551
2005/7/22,6354,6366,6325,6342,-23,-0.3614,25061
2005/7/25,6359,6406,6356,6406,64,1.0091,19120
2005/7/26,6395,6408,6319,6330,-76,-1.1864,27117
2005/7/27,6328,6342,6286,6310,-20,-0.316,25424
2005/7/28,6325,6350,6304,6350,40,0.6339,20253
2005/7/29,6361,6395,6277,6277,-73,-1.1496,38776
2005/8/1,6281,6297,6264,6297,20,0.3186,13495
2005/8/2,6298,6340,6271,6340,43,0.6829,27076
2005/8/3,6375,6455,6370,6431,91,1.4353,38357
2005/8/4,6446,6464,6419,6445,14,0.2177,23870
2005/8/8,6360,6383,6349,6370,-75,-1.1637,21271
2005/8/9,6361,6394,6352,6394,24,0.3768,16014
2005/8/10,6413,6428,6338,6345,-49,-0.7663,33301
2005/8/11,6360,6389,6340,6389,44,0.6935,20506
2005/8/12,6394,6412,6351,6352,-37,-0.5791,22653
2005/8/15,6337,6342,6224,6240,-112,-1.7632,32474
2005/8/16,6245,6257,6198,6235,-5,-0.0801,22290
2005/8/17,6185,6255,6185,6220,-15,-0.2406,16042
2005/8/18,6238,6247,6182,6190,-30,-0.4823,29121
2005/8/19,6179,6181,6135,6164,-26,-0.42,25114
2005/8/22,6189,6218,6175,6215,51,0.8274,16456
2005/8/23,6209,6214,6182,6185,-30,-0.4827,14278
2005/8/24,6161,6178,6139,6147,-38,-0.6144,21670
2005/8/25,6118,6168,6101,6126,-21,-0.3416,23469
2005/8/26,6147,6159,6130,6150,24,0.3918,16495
2005/8/29,6116,6130,6032,6046,-104,-1.6911,26818
2005/8/30,6080,6092,6043,6055,9,0.1489,16584
2005/8/31,6045,6085,5985,6050,-5,-0.0826,29590
2005/9/2,6101,6122,6083,6119,69,1.1405,20860
2005/9/5,6115,6120,6100,6108,-11,-0.1798,9383
2005/9/6,6130,6159,6128,6150,42,0.6876,17250
2005/9/7,6188,6190,6132,6164,14,0.2276,21421
2005/9/8,6158,6169,6138,6154,-10,-0.1622,11634
2005/9/9,6152,6158,6093,6114,-40,-0.65,22338
2005/9/12,6158,6168,6122,6165,51,0.8342,18912
2005/9/13,6158,6189,6148,6164,-1,-0.0162,18755
2005/9/14,6150,6166,6129,6155,-9,-0.146,15568
2005/9/15,6130,6137,6080,6080,-75,-1.2185,23987
2005/9/16,6085,6089,6013,6045,-35,-0.5757,25257
2005/9/19,6050,6065,6026,6030,-15,-0.2481,9602
2005/9/20,6031,6124,5987,6106,76,1.2604,26876
2005/9/21,6082,6116,6056,6059,-47,-0.7697,11493
2005/9/22,6031,6047,5965,5979,-80,-1.3203,40394
2005/9/23,5966,5978,5893,5931,-48,-0.8028,29486
2005/9/26,5961,5974,5888,5950,19,0.3204,25371
2005/9/27,5931,5980,5893,5935,-15,-0.2521,29561
2005/9/28,5941,5973,5906,5933,-2,-0.0337,25048
2005/9/29,5930,6022,5925,6022,89,1.5001,31786
2005/9/30,6039,6115,6034,6095,73,1.2122,38775
2005/10/3,6106,6132,6088,6118,23,0.3774,21930
2005/10/4,6130,6166,6117,6142,24,0.3923,27085
2005/10/5,6132,6157,6118,6130,-12,-0.1954,24357
2005/10/6,6080,6100,6061,6100,-30,-0.4894,20362
2005/10/7,6083,6109,6083,6095,-5,-0.082,14818
